Tissue Name;Density (kg/m3);Heat Capacity (J/kg/°C);Thermal Conductivity (W/m/°C);Heat Transfer Rate (ml/min/kg);Heat Generation Rate (W/kg);"LF Conductivity ";Magnetic Conductivity [S/m];Magnetic Relative Permeability;Tissue Speed of Sound [m/s];Tissue Dependent Parameter of the Non Linearity Prameter B/A;Attenuation Constant - α0 [Np/m/MHz];Attenuation Constant - b;1.5T- T1 [ms];1.5T- T2 [ms];3.0T- T1 [ms];3.0T- T2 [ms]
Cerebellum;1045,00;3653;0,506;770;15,66800382;0,659666667;0;1;1537;;3,9117;1,6096;;;1081;76
Cerebrospinal Fluid;1007,00;4095,5;0,573333333;0;0;1,7765;0;1;1504,5;;0,1;1;4627,25;;;
Cervix;1104,50;3676;0,5265;700;10,84082524;0,337908911;0;1;1629;;8,1157;1;986,0736364;;;
Commissura Anterior;1041,00;3582,8;0,481;212,3333333;4,320570749;0,265075903;0;1;1552,5;;6,7082;1,09;999,8518519;112,3125;866,9475806;60,78125
Commissura Posterior;1041,00;3582,8;0,481;212,3333333;4,320570749;0,265075903;0;1;1552,5;;6,7082;1,09;999,8518519;112,3125;866,9475806;60,78125
Connective Tissue;1026,50;2372,416667;0,3945;37,2;0,576112427;0;0;1;1545;;14,506;1,1719;;;;
Diaphragm;1090,40;3421,2;0,49496875;99;2,441766828;0,355286874;0;1;1588,430556;7,166;7,1088;1,0827;981,4705882;36,03571429;;
Ductus Deferens;1101,50;3306;0,462;188;2,911535922;0,231971605;0;1;1569,142857;;7,02;1;1434,5;163,9875;1498,25;
Dura;1174,00;3364;0,44;380;5,885019417;0,367577228;0;1;1500;;13,402062;1;;;;
Epididymis;1082,00;3778;0,515;199,8095238;3,094428756;0,366066667;0;1;1595;;2,4237;1,5613;;;;
Esophagus;1040,00;3500;0,527;190;2,942509709;0,163535918;0;1;1500;;5,7429;1;;;;
Esophagus Lumen;1,16;1003,666667;0,027381779;0;0;0;0;1;343;;0,039143947;2;;;;
Eye (Aqueous Humor);993,78;3997;0,578;0;0;0;0;1;0;;0;0;;;;
Eye (Choroid);1049,75;3617;0,516857143;5950;92,14701456;0;0;1;0;;0;0;;;;
Eye (Ciliary Body);1090,40;3421,2;0,49496875;3800;93,72438332;0;0;1;0;;0;0;;;;
Eye (Cornea);1061,65;3615;0,5385;0;0;0,62;0;1;1562,5;;0,368;1,5;;;;
Eye (Iris);1090,40;3421,2;0,49496875;1632,310124;40,25980521;0;0;1;0;;0;0;;;;
Eye (Lens);1075,50;3132,8;0,433333333;0;0;0,345333333;0;1;1643,324242;;0,66667;1;;;;
Eye (Retina);1036,28;3695,8;0,547;240,3759028;4,891182548;0;0;1;0;;0;0;;;;
Eye (Sclera);1032,00;4200;0,58;380;5,885019417;0,62;0;1;1638,75;;1,174;1,56;;;;
Eye (Vitreous Humor);1004,50;4047;0,5946;0;0;1,55;0;1;1525,836364;;5;1;;;;
Eye Lens (Cortex);1075,50;3132,8;0,433333333;0;0;0,34;0;1;1643,324242;;0,66667;1;;;;
Eye Lens (Nucleus);1075,50;3132,8;0,433333333;0;0;0,19;0;1;1643,324242;;0,66667;1;;;;
Fat;911,00;2348,333333;0,21145;32,70933333;0,506565952;0,057341236;0;1;1440,1875;10,0712;4,3578;1,0861;;;;
Fat (Average Infiltrated);911,00;2348,333333;0,21145;32,70933333;0,506565952;0,057341236;0;1;1440,1875;10,0712;4,3578;1,0861;;;;
Fat (Not Infiltrated);911,00;2348,333333;0,21145;0;0;0,057341236;0;1;1440,1875;10,0712;4,3578;1,0861;;;;
Gallbladder;1070,50;3716;0,521;30;0,464606796;0,408454546;0;1;1583,6;6,22;1,51;1;;;;
